Size,Label,Sale
Small,Blue,49
Small,Blue,71
Small,Blue,56
Small,Blue,45
Small,Blue,48
Small,Blue,62
Small,Blue,55
Small,Blue,44
Small,Blue,58
Small,Blue,67
Small,Green,68
Small,Green,63
Small,Green,59
Small,Green,76
Small,Green,69
Small,Green,55
Small,Green,58
Small,Green,64
Small,Red,58
Small,Red,61
Small,Red,71
Small,Red,48
Small,Red,65
Small,Red,54
Small,Red,80
Large,Blue,46
Large,Blue,56
Large,Blue,76
Large,Blue,53
Large,Blue,67
Large,Blue,66
Large,Blue,47
Large,Green,69
Large,Green,65
Large,Green,70
Large,Green,58
Large,Green,84
Large,Green,63
Large,Green,80
Large,Green,50
Large,Red,80
Large,Red,58
Large,Red,53
Large,Red,50
Large,Red,81
Large,Red,57
Large,Red,71
Large,Red,55
Large,Red,62
Large,Red,59
